 Portal Chat Service Loader (sakai.portal.chat.loader)
 Skin Selector (edia.sakai.selector)
 Web Portlet (sakai.web.168)
 Wiki (sakai.rwiki)
 email模板管理 (sakai.emailtemplateservice)
 内存/缓存管理 (sakai.memory)
 切换用户 (sakai.su)
 别名管理 (sakai.aliases)
 外部工具 (sakai.basiclti)
 外部工具管理 (sakai.basiclti.admin)
 实时授课 (sakai.realtimeanswer)
 归档工具 (sakai.archive)
 成绩册服务测试 (sakai.gradebook.testservice)
 我的朋友圈 (sakai.profile2)
 批量站点管理 (sakai.adminsiteperms)
 投递箱 (sakai.dropbox)
 授权展示访问 (sakai.delegatedaccess.shopping)
 播客 (sakai.podcasts)
 新帐号验证 (sakai.accountvalidator)
 新闻 (sakai.news)
 日程 (sakai.summary.calendar)
 服务信息 (sakai.iframe.service)
 标记链接 (sakai.iframe.annotatedurl)
 检索工具 (sakai.search)
 消息中心通告 (sakai.synoptic.messagecenter)
 班组管理 (sakai.sections)
 用户偏好 (sakai.preferences)
 用户群组管理 (sakai.usermembership)
 私有状态 (sakai.privacy)
 站内消息 (sakai.messages)
 站点信息 (sakai.iframe.site)
 站点列表 (sakai.sitebrowser)
 站点统计 (sakai.sitestats)
 系统公告 (sakai.motd)
 表单 (sakai.metaobj)
 课件管理 (sakai.courseware)
 课程学习 (sakai.course)
 课程模板管理 (sakai.coursetemplate)
 课程组织 (sakai.lessonbuildertool)
 邮件列表 (sakai.mailbox)
 阶段作业 (sakai.test)
 预约 (sakai.signup)
